callsign,Airlines,icao24,origin,destination,firstseen
QXE2686,,a84e0c,KSEA,KPDX,4/8/2020
QXE2166,,a54601,KSEA,KPDX,4/8/2020
ASA1403,,a5320b,KSEA,KPDX,4/9/2020
SKW3589,,a29aa5,KSEA,KPDX,4/9/2020
ASA946,,a29cbf,KSEA,KPDX,4/9/2020
ASA1310,,a28a2c,KSEA,KPDX,4/9/2020
SKW3613,,a29aa5,KSEA,KPDX,4/9/2020
ABX904,,a9f2a0,KSEA,KPDX,4/9/2020
SKW3616,,a2fe8f,KSEA,KPDX,4/9/2020
QXE2682,,a5424a,KSEA,KPDX,4/9/2020
QXE2686,,a817b1,KSEA,KPDX,4/9/2020
SKW4024,,a2dac7,KSEA,KPDX,4/9/2020
QXE2166,,a4b1cc,KSEA,KPDX,4/9/2020
ASA1403,,a5dee3,KSEA,KPDX,4/10/2020
SKW3589,,a2e9a3,KSEA,KPDX,4/10/2020
SKW3613,,a2e9a3,KSEA,KPDX,4/10/2020
ABX904,,aad21c,KSEA,KPDX,4/10/2020
ASA900,,a697db,KSEA,KPDX,4/10/2020
QXE2811,,a53adc,KSEA,KPDX,4/10/2020
QXE2547,,a54601,KSEA,KPDX,4/10/2020
SKW4024,,a2c224,KSEA,KPDX,4/10/2020
ASA1205,,a2228b,KSEA,KPDX,4/10/2020
QXE2704,,a57747,KSEA,KPDX,4/11/2020
SKW3589,,a2dac7,KSEA,KPDX,4/11/2020
ASA900,,a35975,KSEA,KPDX,4/11/2020
QXE2811,,a54601,KSEA,KPDX,4/11/2020
QXE2547,,a500ca,KSEA,KPDX,4/11/2020
SKW4024,,a2e9a3,KSEA,KPDX,4/11/2020
ASA1205,,a7197d,KSEA,KPDX,4/11/2020
SKW3589,,a29337,KSEA,KPDX,4/12/2020
ASA900,,a2adf4,KSEA,KPDX,4/12/2020
SKW3616,,a2cfa2,KSEA,KPDX,4/12/2020
QXE2547,,a53725,KSEA,KPDX,4/12/2020
QXE2811,,a51714,KSEA,KPDX,4/12/2020
SKW4024,,a2ed5a,KSEA,KPDX,4/12/2020
QXE2704,,a4ae15,KSEA,KPDX,4/13/2020
SKW3589,,a2cfa2,KSEA,KPDX,4/13/2020
ASA900,,a688ff,KSEA,KPDX,4/13/2020
SKW3616,,a28812,KSEA,KPDX,4/13/2020
QXE2811,,a53725,KSEA,KPDX,4/13/2020
QXE2547,,a4ae15,KSEA,KPDX,4/13/2020
SKW4024,,a2cfa2,KSEA,KPDX,4/13/2020
ASA1205,,a5dee3,KSEA,KPDX,4/13/2020
QXE2704,,a52c00,KSEA,KPDX,4/14/2020
SKW3589,,a29aa5,KSEA,KPDX,4/14/2020
ASA900,,a30460,KSEA,KPDX,4/14/2020
SKW3616,,a28812,KSEA,KPDX,4/14/2020
QXE2811,,a4ae15,KSEA,KPDX,4/14/2020
QXE2547,,a5537f,KSEA,KPDX,4/14/2020
SKW4024,,a29aa5,KSEA,KPDX,4/14/2020
ASA1205,,a36851,KSEA,KPDX,4/14/2020
QXE2704,,a54601,KSEA,KPDX,4/15/2020
SKW3589,,a2fe8f,KSEA,KPDX,4/15/2020
ABX904,,aa9bc1,KSEA,KPDX,4/15/2020
ASA900,,a30460,KSEA,KPDX,4/15/2020
SKW3616,,a2c224,KSEA,KPDX,4/15/2020
ASA9804,,a726fb,KSEA,KPDX,4/15/2020
QXE2811,,a55ea4,KSEA,KPDX,4/15/2020
QXE2547,,a51714,KSEA,KPDX,4/15/2020
SKW4024,,a28f80,KSEA,KPDX,4/15/2020
ASA1205,,a7197d,KSEA,KPDX,4/15/2020
QXE2704,,a5537f,KSEA,KPDX,4/16/2020
SKW3589,,a2fe8f,KSEA,KPDX,4/16/2020
ASA900,,a7a89d,KSEA,KPDX,4/16/2020
SKW3616,,a29337,KSEA,KPDX,4/16/2020
SKW4024,,a2b348,KSEA,KPDX,4/16/2020
QXE2704,,a55736,KSEA,KPDX,4/17/2020
SKW3589,,a28812,KSEA,KPDX,4/17/2020
ASA900,,a2d92a,KSEA,KPDX,4/17/2020
SKW3616,,a29337,KSEA,KPDX,4/17/2020
QXE2811,,a4ae15,KSEA,KPDX,4/17/2020
QXE2547,,a5537f,KSEA,KPDX,4/17/2020
SKW4024,,a28f80,KSEA,KPDX,4/17/2020
ASA1205,,a5b3ad,KSEA,KPDX,4/17/2020
QXE2704,,a55ea4,KSEA,KPDX,4/18/2020
SKW3589,,a28812,KSEA,KPDX,4/18/2020
SKW3613,,a28812,KSEA,KPDX,4/18/2020
ASA900,,a54aae,KSEA,KPDX,4/18/2020
SKW3616,,a2ed5a,KSEA,KPDX,4/18/2020
QXE2811,,a53725,KSEA,KPDX,4/18/2020
QXE2547,,a54fc8,KSEA,KPDX,4/18/2020
SKW4024,,a2ed5a,KSEA,KPDX,4/18/2020
ASA1205,,a5521c,KSEA,KPDX,4/18/2020
SKW3589,,a2fad8,KSEA,KPDX,4/19/2020
ASA900,,a2228b,KSEA,KPDX,4/19/2020
SKW3616,,a2fad8,KSEA,KPDX,4/19/2020
QXE2811,,a54601,KSEA,KPDX,4/19/2020
QXE2547,,a4b1cc,KSEA,KPDX,4/19/2020
SKW4024,,a2fad8,KSEA,KPDX,4/19/2020
ASA1205,,a5b3ad,KSEA,KPDX,4/19/2020
QXE2704,,a57747,KSEA,KPDX,4/20/2020
SKW3589,,a324b0,KSEA,KPDX,4/20/2020
FDX986,,a33d8c,KSEA,KPDX,4/20/2020
ABX904,,aa9bc1,KSEA,KPDX,4/20/2020
ASA900,,a5dee3,KSEA,KPDX,4/20/2020
SKW3616,,a32867,KSEA,KPDX,4/20/2020
QXE2811,,a500ca,KSEA,KPDX,4/20/2020
QXE2547,,a51714,KSEA,KPDX,4/20/2020
ASA1205,,a300a9,KSEA,KPDX,4/20/2020
QXE2704,,a50481,KSEA,KPDX,4/21/2020
SKW3589,,a320f9,KSEA,KPDX,4/21/2020
ABX904,,aa9bc1,KSEA,KPDX,4/21/2020
ASA900,,a36851,KSEA,KPDX,4/21/2020
SKW3616,,a2d359,KSEA,KPDX,4/21/2020
QXE2811,,a55ea4,KSEA,KPDX,4/21/2020
QXE2547,,a57747,KSEA,KPDX,4/21/2020
SKW4024,,a324b0,KSEA,KPDX,4/21/2020
ASA1205,,a24dc1,KSEA,KPDX,4/21/2020
QXE2704,,a55736,KSEA,KPDX,4/22/2020
SKW3589,,a29aa5,KSEA,KPDX,4/22/2020
ASA900,,a6ca7f,KSEA,KPDX,4/22/2020
SKW3616,,a2b348,KSEA,KPDX,4/22/2020
SKW4024,,a2bab6,KSEA,KPDX,4/22/2020
QXE2704,,a500ca,KSEA,KPDX,4/23/2020
SKW3589,,a29e5c,KSEA,KPDX,4/23/2020
ABX904,,aa9bc1,KSEA,KPDX,4/23/2020
ASA900,,a57d52,KSEA,KPDX,4/23/2020
SKW3616,,a2de7e,KSEA,KPDX,4/23/2020
QXE2811,,a500ca,KSEA,KPDX,4/23/2020
QXE2547,,a56612,KSEA,KPDX,4/23/2020
ASA1205,,a4c6b3,KSEA,KPDX,4/23/2020
QXE2704,,a53725,KSEA,KPDX,4/24/2020
SKW3589,,a2f111,KSEA,KPDX,4/24/2020
ABX904,,aad21c,KSEA,KPDX,4/24/2020
ASA900,,a613e0,KSEA,KPDX,4/24/2020
SKW3616,,a28812,KSEA,KPDX,4/24/2020
QXE2547,,a4ae15,KSEA,KPDX,4/24/2020
SKW4024,,a2abda,KSEA,KPDX,4/24/2020
SKW3589,,a28812,KSEA,KPDX,4/25/2020
SKW3613,,a28812,KSEA,KPDX,4/25/2020
SKW3616,,a2d359,KSEA,KPDX,4/25/2020
ASA900,,a30f85,KSEA,KPDX,4/25/2020
QXE2811,,a50481,KSEA,KPDX,4/25/2020
QXE2547,,a4b93a,KSEA,KPDX,4/25/2020
SKW4024,,a29337,KSEA,KPDX,4/25/2020
ASA1205,,a2adf4,KSEA,KPDX,4/25/2020
SKW3613,,a2d359,KSEA,KPDX,4/26/2020
ASA900,,a7888c,KSEA,KPDX,4/26/2020
SKW3616,,a2e9a3,KSEA,KPDX,4/26/2020
SKW4024,,a2b348,KSEA,KPDX,4/26/2020
QXE2704,,a55736,KSEA,KPDX,4/27/2020
SKW3589,,a2a213,KSEA,KPDX,4/27/2020
ABX904,,a9f2a0,KSEA,KPDX,4/27/2020
SKW3613,,a2e9a3,KSEA,KPDX,4/27/2020
ASA900,,a2d92a,KSEA,KPDX,4/27/2020
SKW3616,,a28812,KSEA,KPDX,4/27/2020
QXE2547,,a56612,KSEA,KPDX,4/27/2020
SKW4024,,a2b348,KSEA,KPDX,4/27/2020
ASA1205,,a25b3f,KSEA,KPDX,4/27/2020
QXE2704,,a57747,KSEA,KPDX,4/28/2020
SKW3589,,a28f80,KSEA,KPDX,4/28/2020
SKW3613,,a2c992,KSEA,KPDX,4/28/2020
ABX904,,aa9bc1,KSEA,KPDX,4/28/2020
ASA900,,a57d52,KSEA,KPDX,4/28/2020
SKW3616,,a28812,KSEA,KPDX,4/28/2020
QXE2811,,a55ea4,KSEA,KPDX,4/28/2020
QXE2547,,a53725,KSEA,KPDX,4/28/2020
ASA1205,,a2228b,KSEA,KPDX,4/28/2020
QXE2704,,a57747,KSEA,KPDX,4/29/2020
SKW3589,,a32867,KSEA,KPDX,4/29/2020
SKW3613,,a27a94,KSEA,KPDX,4/29/2020
ABX904,,aa9bc1,KSEA,KPDX,4/29/2020
ASA900,,a5a888,KSEA,KPDX,4/29/2020
SKW3616,,a2a213,KSEA,KPDX,4/29/2020
QXE2547,,a5537f,KSEA,KPDX,4/29/2020
ASA1205,,a5b764,KSEA,KPDX,4/29/2020
QXE2704,,a53adc,KSEA,KPDX,4/30/2020
SKW3589,,a2c992,KSEA,KPDX,4/30/2020
SKW3613,,a2c992,KSEA,KPDX,4/30/2020
ABX904,,aa9bc1,KSEA,KPDX,4/30/2020
ASA900,,a6ca7f,KSEA,KPDX,4/30/2020
SKW3616,,a2fe8f,KSEA,KPDX,4/30/2020
QXE2811,,a4ae15,KSEA,KPDX,4/30/2020
QXE2547,,a4b1cc,KSEA,KPDX,4/30/2020
SKW4024,,a320f9,KSEA,KPDX,4/30/2020
ASA1205,,a5320b,KSEA,KPDX,4/30/2020
